level;type;question;sub_question 1;sub_question 2;sub_question 3;sub_question 4;valid_answer;fake answer 1;fake answer 2;fake answer 3;fake answer 4
2;0;"How do you say ""010-5437-8126."" in Korean?";;;;;공일공 오사삼칠 팔일이육.;공일공 오삼칠사 팔이이육.;공일공 오삼삼사 팔일이육.;공일공 오사삼칠 팔이삼팔.;
2;0;"How do you say ""Why don't you work out?"" in Korean?";;;;;운동하는 게 어때요?;공부하는 게 어때요?;노래하는 게 어때요?;걷는 게 어때요?;
2;0;"How do you say ""Jake is wearing sneakers."" in Korean?";;;;;제이크는 운동화를 신고 있어요.;제이크는 운동화를 입고 있어요.;제이크는 운동화를 벗고 있어요.;제이크는 운동화를 사고 있어요.;
2;0;How do you say “When I arrived at home, it was midnight.” in Korean?;;;;;집에 오니까 밤 12시였어요.;집에 가면 밤 12시였어요.;집에 가니까 오전 12시였어요.;집에 와서 밤 오전 12시였어요.;
2;0;Choose the wrong answer.;;;;;대학교에 입학하려고 열심히 공부하세요.;대학교에 입학하려고 열심히 공부했어요.;대학교에 입학하기 위해서 열심히 공부하세요.;대학교에 입학하기 위해서 열심히 공부해야 해요.;대학교에 입학하기 위해서 열심히 공부했어요.
2;0;Choose the correct answer.;;;;;존 씨가 저녁에 전화할 거예요.;저는 이제부터 날씬할게요.;오늘 오후에는 바람이 불게요.;존씨는 이제 늦지 않을게요.;
3;1;( )에 들어갈 가장 알맞은 것을 고르십시오.;게임을 ( ) 학원에 지각했다.;;;;하다가;했다가;하려고;하고;
3;1;( )에 들어갈 가장 알맞은 것을 고르십시오.;BTS 덕분에 한국을 더 좋아( ).;;;;하게 되었다.;하다.;했었다;할 것이다.;
3;1;다음 빈칸에 공통적으로 들어갈 단어를 고르세요.;ㆍ여행 ( ) 좋아해요.;ㆍ등산 ( ) 좋아해요.;ㆍ사냥 ( ) 좋아해요.;;하는 것을;하고 싶어서;하기 떄문에;하면서;
3;1;다음을 순서대로 맞게 나열한 것을 고르십시오.;(A) 그래서 건강에 관심이 생겼습니다.;(B) 내일부터 학교에 걸어 다닐 겁니다.;(C) 건강을 위해서 운동을 하려고 합니다.;(D) 요즘 조금만 일해도 빨리 피곤해집니다.;D-A-C-B;A-C-B-D;A-B-C-D;B-C-A-D;C-A-B-D
3;1;다음을 순서대로 맞게 나열한 것을 고르십시오.;(A) 학교 앞에서 어린이 교통사고가 많이 일어납니다.;(B) 또 어린이들이 갑자기 도로로 나올 때도 있습니다.;(C) 그래서 학교 앞에서 운전할 때는 조심해야 합니다.;(D) 어린이는 키가 작아서 운전할 때 잘 보이지 않습니다.;A-D-B-C;A-D-C-B;D-C-B-A;A-B-C-D;B-C-A-D
3;0;다음 보기를 보고 “-아서/어서”를 문법적으로 맞게 사용한 것을 고르세요.;;;;;자르다 -> 잘라서;모르다 -> 모르서;빠르다 -> 빠르서;부르다 -> 불르서;기르다 -> 길어서
3;1;다음중 보기를 보고 괄호( )에 들어갈 말을 고르시오.;목이 마르면 물을 ( ) 그래?;;;;마시지;마르면;마실수;마시면;마시어
3;1;다음 보기를 보고 괄호( )에 적합한 단어를 고르시오.;;( )하고 집에 오면 너무 피곤해요;;;퇴근;직장;사무실;휴가;
3;1;다음 보기를 보고 괄호( )에 적합한 단어를 고르시오.;아침에 일찍 ( ) 새벽 5시 기차를 탈 수 있다.;;;;일어나야;일어나면서;일어나;일어나고서;
3;1;다음 보기를 보고 괄호( )에 적합한 단어를 고르시오.;눈 때문에 세상이 다 ( ).;;;;하얘요.;하야요.;까먜요.;까매요.;
3;1;다음 보기를 보고 괄호( )에 적합한 단어를 고르시오.;음악을 ( ) 운동해요.;;;;들으면서;듣고;들으며;들고;
3;1;다음 글을 보고 무엇에 관한 글인지 고르시오.;최대 규모의 상영관 ! 최고의 화질을 보장 합니다.;;;;영화관;극장;병원;영사관;
3;1;다음 글을 보고 무엇에 관한 글인지 고르시오.;ㆍ시원한 장소에 보관하십시오.;ㆍ유통기한을 준수 하십시오.;;;주의 사항;재료 안내;구매 방법;제품 문의;
